Tabela ASCII resumida - só dígitos e letras
tecla	decimal	hexadecimal	tecla	decimal	hexadecimal
0	    48	    30			
1	    49	    31			
2	    50	    32			
3	    51	    33			
4	    52	    34			
5	    53	    35			
6	    54	    36			
7	    55	    37			
8	    56	    38			
9	    57	    39			
A	    65	    41	        a	    97	    61
B	    66	    42	        b	    98	    62
C	    67	    43	        c   	99	    63
D	    68	    44	        d   	100	    64
E	    69	    45	        e   	101	    65
F	    70	    46	        f   	102	    66
G	    71	    47	        g   	103	    67
H	    72	    48	        h   	104	    68
I	    73	    49	        i   	105	    69
J	    74	    4A	        j   	106	    6A
K	    75	    4B	        k   	107	    6B
L	    76	    4C	        l   	108	    6C
M	    77	    4D	        m   	109	    6D
N	    78	    4E	        n   	110	    6E
O	    79	    4F	        o   	111	    6F
P	    80	    50	        p   	112	    70
Q	    81	    51	        q   	113	    71
R	    82	    52	        r   	114	    72
S	    83	    53	        s   	115	    73
T	    84	    54	        t   	116	    74
U	    85	    55	        u   	117	    75
V	    86	    56	        v   	118	    76
W	    87	    57	        x   	119	    77
X	    88	    58	        w   	120	    78
Y	    89	    59	        y   	121	    79
Z	    90	    5A	        z   	122	    7A
