Símbolo   Hexa_CP850   Hexa_UTF-8
░         B0           E2 96 91
▒         B1           E2 96 92
▓         B2           E2 96 93
│         B3           E2 94 82
┤         B4           E2 94 A4
╡         B5           E2 95 A1
╢         B6           E2 95 A2
╖         B7           E2 95 96
╕         B8           E2 95 95
╣         B9           E2 95 A3
║         BA           E2 95 91
╗         BB           E2 95 97
╝         BC           E2 95 9D
╜         BD           E2 95 9C
╛         BE           E2 95 9B
┐         BF           E2 94 90
└         C0           E2 94 94
┴         C1           E2 94 B4
┬         C2           E2 94 AC
├         C3           E2 94 9C
─         C4           E2 94 80
┼         C5           E2 94 BC
╞         C6           E2 95 9E
╟         C7           E2 95 9F
╚         C8           E2 95 9A
╔         C9           E2 95 94
╩         CA           E2 95 A9
╦         CB           E2 95 A6
╠         CC           E2 95 A0
═         CD           E2 95 90
╬         CE           E2 95 BC
╧         CF           E2 95 A7
╨         D0           E2 95 A8
╤         D1           E2 95 A4
╥         D2           E2 95 A5
╙         D3           E2 95 99
╘         D4           E2 95 98
╒         D5           E2 95 92
╓         D6           E2 95 93
╫         D7           E2 95 AB
╪         D8           E2 95 AA
┘         D9           E2 94 98
┌         DA           E2 94 8C
█         DB           E2 96 88
▄         DC           E2 96 84
▌         DD           E2 96 8C
▐         DE           E2 96 90
▀         DF           E2 96 80
